rainfall_mm,temperature_c,soil_ph,soil_moisture_pct,fertilizer_kg_per_hectare,irrigation_level_pct,yield_tons_per_hectare
924.2,25.9,5.96,42.8,4.6,79.2,5.12
765.4,25.7,6.26,44.5,340.2,31.5,6.25
961.9,19.0,6.02,46.0,128.8,38.5,5.41
1180.8,26.3,6.59,59.2,162.5,57.0,5.61
741.5,31.7,7.46,33.8,94.8,61.4,5.83
741.5,21.6,5.88,32.3,16.5,57.9,5.45
1194.8,33.2,7.3,63.5,2.5,51.0,4.26
991.9,30.4,5.87,38.1,160.0,43.7,5.54
682.6,24.3,5.82,26.1,40.4,59.6,5.6
935.6,27.3,7.15,37.7,24.5,39.2,5.05
684.1,36.0,7.24,40.0,66.0,35.5,5.42
683.6,31.7,7.18,68.3,43.7,40.5,5.57
860.5,28.0,5.45,58.9,84.4,74.3,5.81
321.7,26.8,6.13,62.2,52.9,60.8,4.76
368.8,28.4,7.16,57.3,95.6,12.8,5.25
659.4,25.4,6.53,59.2,153.6,59.7,5.65
546.8,17.5,5.64,34.7,17.4,19.8,4.82
878.6,38.2,6.87,42.0,32.0,48.6,4.95
573.0,28.8,5.93,30.2,45.9,75.2,5.25
446.9,30.0,7.94,41.8,261.7,48.1,5.14
1166.4,27.7,7.74,55.3,36.4,8.1,4.35
743.6,24.3,6.98,47.0,38.4,74.3,5.63
816.9,27.1,7.59,64.7,84.8,76.5,5.73
443.8,20.0,6.55,27.9,43.5,49.7,4.74
663.9,39.4,7.11,52.5,241.6,46.9,5.44
827.7,21.8,7.68,26.3,179.9,71.3,5.91
512.3,22.8,6.7,46.4,57.6,20.2,5.25
893.9,25.8,6.3,56.1,82.8,36.1,5.56
649.8,34.4,5.14,41.8,4.8,34.7,4.46
727.1,28.1,6.43,53.3,95.2,96.9,5.73
649.6,21.8,7.16,30.6,98.3,55.9,5.66
1263.1,34.3,7.26,20.0,35.6,86.4,4.27
796.6,31.7,6.9,53.4,19.8,72.6,5.29
535.6,30.7,6.07,71.2,197.3,56.8,5.96
1005.6,31.6,4.92,30.1,44.5,16.5,5.34
494.8,40.0,6.1,63.3,84.8,18.6,4.25
852.2,38.9,6.26,45.7,2.7,68.2,5.0
310.1,24.6,6.25,25.0,42.8,64.6,4.96
468.0,36.1,6.99,28.0,136.0,49.7,4.93
849.2,29.9,8.09,45.2,39.2,50.7,5.36
984.6,30.5,6.6,38.9,73.9,12.4,4.86
842.8,19.5,6.33,25.3,18.8,23.3,5.3
771.1,27.1,6.29,19.6,43.1,63.2,5.35
724.7,23.9,6.6,32.3,210.1,41.1,5.7
430.4,32.1,5.84,47.9,66.9,65.4,4.89
620.0,33.4,6.6,44.9,185.8,53.7,5.49
